,index,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,Total_Charge,day_rate,eve_rate,night_rate,intl_rate,CLUSTER
1938,1938,OR,155,area_code_408,no,yes,30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,no,51.150000000000006,0.17003891050583658,0.0849787685774947,0.04500786163522012,0.2705882352941177,3
1939,1939,AZ,113,area_code_510,no,no,0,128.7,100,21.88,227.1,67,19.3,178.1,135,8.01,9.2,4,2.48,2,yes,51.669999999999995,0.17000777000777,0.0849845882870982,0.04497473329590118,0.26956521739130435,0
1940,1940,WI,123,area_code_415,no,no,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,no,56.7,0.1699767711962834,0.08499384993849939,0.04498601677986416,0.2701149425287357,3
1941,1941,VA,145,area_code_408,no,no,0,199.2,124,33.86,126.0,86,10.71,289.2,135,13.01,7.6,3,2.05,1,no,59.629999999999995,0.16997991967871487,0.085,0.04498616874135546,0.26973684210526316,3
1942,1942,MO,42,area_code_415,no,no,0,184.5,98,31.37,200.5,93,17.04,279.2,91,12.56,8.8,3,2.38,2,no,63.35,0.1700271002710027,0.08498753117206982,0.044985673352435536,0.27045454545454545,2
1943,1943,NV,125,area_code_510,no,no,0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,no,57.480000000000004,0.16998813760379597,0.08502277904328018,0.04500616522811344,0.2697247706422018,0
1944,1944,HI,131,area_code_415,no,yes,30,174.0,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,no,58.660000000000004,0.16999999999999998,0.08499756453969799,0.04500458295142072,0.2701492537313433,3
1945,1945,WA,107,area_code_415,no,no,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,no,68.17999999999999,0.17000868055555557,0.085003885003885,0.04501397949673812,0.27058823529411763,1
1946,1946,IL,48,area_code_408,no,no,0,198.2,73,33.69,202.8,115,17.24,146.4,73,6.59,5.1,5,1.38,1,no,58.9,0.16997981836528758,0.08500986193293884,0.04501366120218579,0.27058823529411763,3
1947,1947,IL,76,area_code_510,no,no,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8.0,4,2.16,0,no,62.17,0.17001612036539496,0.08501890359168242,0.04501300954032958,0.27,3
1948,1948,LA,128,area_code_415,no,no,0,148.5,105,25.25,243.0,106,20.66,255.2,114,11.48,6.8,2,1.84,1,no,59.230000000000004,0.17003367003367004,0.08502057613168724,0.04498432601880878,0.2705882352941177,3
1949,1949,WI,73,area_code_415,no,no,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10.0,8,2.7,0,no,60.43000000000001,0.17001909611712288,0.08500744047619048,0.04501377410468319,0.27,2
1950,1950,TX,52,area_code_415,no,no,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,yes,47.5,0.17,0.08500749625187407,0.04497444633730835,0.26999999999999996,4
1951,1951,MI,126,area_code_415,yes,yes,26,129.3,123,21.98,176.5,114,15.0,154.5,102,6.95,9.6,7,2.59,1,no,46.52000000000001,0.16999226604795048,0.08498583569405099,0.04498381877022654,0.26979166666666665,0
1952,1952,NC,124,area_code_415,no,no,0,188.5,77,32.05,182.0,123,15.47,218.2,127,9.82,6.1,6,1.65,1,no,58.989999999999995,0.170026525198939,0.085,0.04500458295142072,0.27049180327868855,3
1953,1953,WA,137,area_code_408,no,no,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0,no,67.62,0.1700191570881226,0.08499778073679537,0.04499097472924188,0.2702702702702703,2
1954,1954,ND,71,area_code_510,no,no,0,238.0,82,40.46,278.5,94,23.67,193.1,134,8.69,11.8,10,3.19,0,yes,76.00999999999999,0.17,0.08499102333931778,0.04500258933195236,0.2703389830508474,2
1955,1955,NE,139,area_code_415,no,no,0,211.1,103,35.89,206.9,108,17.59,193.9,70,8.73,5.6,4,1.51,0,no,63.720000000000006,0.1700142112742776,0.08501691638472691,0.04502320783909232,0.2696428571428572,3
1956,1956,MS,107,area_code_510,no,yes,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3,no,62.0,0.16998491704374058,0.08502415458937199,0.04499374217772215,0.2698412698412698,4
1957,1957,KY,147,area_code_408,no,no,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,no,63.31,0.17001879699248118,0.08500734933855954,0.045006402048655574,0.26960784313725494,1
1958,1958,RI,116,area_code_510,no,no,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,no,42.77,0.1700145560407569,0.08499999999999999,0.04497313891020721,0.2701612903225806,0
1959,1959,NY,60,area_code_510,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,no,67.85,0.1700208550573514,0.08498879761015683,0.04498753117206982,0.27031249999999996,2
1960,1960,TX,38,area_code_510,no,no,0,149.0,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,no,40.61,0.16999999999999998,0.08495934959349592,0.045009185548071026,0.2697841726618705,0
1961,1961,DE,63,area_code_408,no,no,0,117.1,118,19.91,249.6,90,21.22,162.2,84,7.3,11.1,4,3.0,3,no,51.42999999999999,0.17002561912894962,0.08501602564102564,0.045006165228113446,0.2702702702702703,4
1962,1962,NM,94,area_code_415,no,no,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,no,53.07000000000001,0.16999999999999998,0.08499379909053327,0.0449821499404998,0.2701923076923077,4
1963,1963,RI,131,area_code_415,no,no,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,no,45.279999999999994,0.1700354609929078,0.0850050150451354,0.04498948843728101,0.2702970297029703,0
1964,1964,MS,158,area_code_510,no,no,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,no,57.349999999999994,0.16998294485503126,0.08502389803505045,0.04498141263940521,0.27,1
1965,1965,NY,139,area_code_510,no,no,0,236.6,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3.0,1,yes,67.21,0.16999154691462384,0.08499117127722189,0.044983513895430996,0.2702702702702703,1
1966,1966,NE,77,area_code_415,no,no,0,169.4,102,28.8,184.9,144,15.72,234.3,89,10.54,2.0,7,0.54,1,no,55.6,0.17001180637544275,0.08501892915089238,0.044985061886470334,0.27,3
1967,1967,WI,140,area_code_415,no,no,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,no,53.24,0.1699845679012346,0.08501218521527214,0.04497385241138873,0.2702127659574468,4
1968,1968,KY,72,area_code_408,no,no,0,177.1,97,30.11,184.7,105,15.7,174.1,94,7.83,8.0,6,2.16,1,no,55.8,0.17001693958215697,0.08500270709258256,0.04497415278575532,0.27,3
1969,1969,SD,52,area_code_510,no,yes,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1,no,54.24,0.16999249812453113,0.08500814774579034,0.04499816782704288,0.27037037037037037,0
1970,1970,VA,103,area_code_510,no,no,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,13.0,3,3.51,5,no,59.51,0.1700238379022646,0.0850164396430249,0.045004803073967335,0.26999999999999996,4
1971,1971,KS,74,area_code_415,no,yes,32,174.6,107,29.68,310.6,115,26.4,234.7,92,10.56,9.0,4,2.43,1,no,69.07000000000001,0.1699885452462772,0.08499678042498389,0.04499360886237751,0.27,2
1972,1972,ND,124,area_code_415,no,no,0,150.3,101,25.55,255.9,112,21.75,136.7,62,6.15,12.5,4,3.38,2,no,56.83,0.16999334664005322,0.08499413833528723,0.04498902706656913,0.2704,1
1973,1973,CO,85,area_code_510,no,yes,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,no,76.94000000000001,0.1699858757062147,0.08498122653316646,0.04501672240802676,0.2698412698412698,4
1974,1974,KY,113,area_code_408,no,yes,20,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,yes,55.13,0.1700253485424588,0.085015479876161,0.045009208103130756,0.2701149425287357,4
1975,1975,WA,71,area_code_408,no,no,0,141.2,132,24.0,149.1,90,12.67,171.4,72,7.71,7.0,2,1.89,2,no,46.27,0.16997167138810199,0.08497652582159625,0.04498249708284714,0.26999999999999996,3
1976,1976,NV,177,area_code_415,no,yes,27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1,no,68.30000000000001,0.16998262380538665,0.08500764915859256,0.044986072423398325,0.2701923076923077,2
1977,1977,SC,49,area_code_415,yes,no,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,yes,69.94999999999999,0.17001682085786374,0.08501675442795596,0.04499404052443384,0.26987179487179486,1
1978,1978,RI,106,area_code_510,yes,no,0,204.0,84,34.68,168.5,61,14.32,164.0,102,7.38,13.3,3,3.59,3,yes,59.97,0.17,0.08498516320474778,0.045,0.2699248120300752,4
1979,1979,ID,60,area_code_510,no,no,0,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2.0,1,no,63.89,0.17001356852103122,0.08499440089585666,0.04499259990133202,0.27027027027027023,3
1980,1980,KY,43,area_code_408,no,no,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,no,59.800000000000004,0.16997742663656887,0.0849929873772791,0.04498567335243553,0.27007874015748035,4
1981,1981,ME,66,area_code_510,no,no,0,118.0,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1,no,52.23,0.16999999999999998,0.08500604594921403,0.04500932835820896,0.269811320754717,3
1982,1982,SD,125,area_code_415,no,no,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0,no,62.5,0.17002442002442003,0.08501564945226918,0.04499740798341109,0.270063694267516,1
1983,1983,SC,114,area_code_510,no,yes,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,no,56.209999999999994,0.16999292285916487,0.08498263888888888,0.04501564595440322,0.2702127659574468,4
1984,1984,TN,112,area_code_415,no,no,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,yes,77.13999999999999,0.1700183486238532,0.08500663423264042,0.04500314267756129,0.2701219512195122,1
1985,1985,MT,101,area_code_408,no,yes,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,no,49.93000000000001,0.16997476871320438,0.0850197109067017,0.044975013881177126,0.26951219512195124,0
1986,1986,WI,70,area_code_415,no,no,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,no,23.25,0.16962025316455698,0.08497067448680351,0.045019157088122604,0.2702479338842975,0
1987,1987,AK,59,area_code_408,no,no,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,no,50.32,0.17003134796238245,0.08498803827751197,0.045021645021645025,0.26960784313725494,0
1988,1988,AZ,59,area_code_408,no,no,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,no,54.14000000000001,0.16997336884154463,0.08497576736672052,0.04498823529411765,0.2702479338842975,0
1989,1989,MT,124,area_code_415,no,yes,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12.0,7,3.24,2,no,60.300000000000004,0.17003460207612456,0.08501715592832634,0.04498896247240618,0.27,2
1990,1990,DE,99,area_code_415,no,no,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,no,55.550000000000004,0.17000710732054017,0.08501659554291133,0.04501957372770769,0.2701612903225806,0
1991,1991,VA,150,area_code_510,no,no,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1,no,58.66,0.1699763593380615,0.08500922509225092,0.04498327759197324,0.2698412698412698,1
1992,1992,MA,81,area_code_510,no,no,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2,no,60.489999999999995,0.17001811594202898,0.08498316498316498,0.04502446982055464,0.26973684210526316,3
1993,1993,IN,86,area_code_510,no,no,0,216.3,96,36.77,266.3,77,22.64,214.0,110,9.63,4.5,3,1.22,0,no,70.26,0.1699953767914933,0.08501689823507322,0.045000000000000005,0.2711111111111111,3
1994,1994,MD,84,area_code_510,no,no,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,no,49.5,0.17002949852507374,0.0850253807106599,0.045010183299389,0.269811320754717,1
1995,1995,NV,118,area_code_510,no,yes,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,no,78.37,0.16999609832227858,0.08500581170089112,0.04501160092807424,0.2700854700854701,2
1996,1996,CO,89,area_code_415,no,no,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,no,66.42,0.17000556483027268,0.08498999332888592,0.045008094981111704,0.26973684210526316,2
1997,1997,KS,93,area_code_415,no,no,0,266.0,120,45.22,130.1,84,11.06,165.8,63,7.46,13.1,6,3.54,3,no,67.28,0.16999999999999998,0.08501152959262107,0.04499396863691194,0.2702290076335878,1
1998,1998,AR,85,area_code_415,no,no,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,no,43.26,0.17001034126163392,0.084984520123839,0.04502038439138032,0.2701030927835052,0
1999,1999,WY,160,area_code_408,no,no,0,82.7,116,14.06,194.6,95,16.54,159.0,54,7.15,10.9,9,2.94,0,no,40.69,0.17001209189842806,0.08499486125385405,0.0449685534591195,0.2697247706422018,0
2000,2000,PA,28,area_code_415,no,no,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,no,53.71999999999999,0.16997621878715816,0.0849721706864564,0.04501039501039501,0.2702970297029703,4
2001,2001,TX,73,area_code_408,no,no,0,286.4,109,48.69,178.2,67,15.15,214.2,152,9.64,10.7,14,2.89,1,yes,76.36999999999999,0.17000698324022348,0.08501683501683502,0.045004668534080305,0.27009345794392525,2
2002,2002,NY,156,area_code_408,no,no,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,no,60.58999999999999,0.1699942627653471,0.08499464094319399,0.04500387296669248,0.2697674418604651,4
2003,2003,OR,33,area_code_415,yes,no,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,1,no,58.199999999999996,0.16998950682056663,0.0849721706864564,0.045023696682464455,0.26999999999999996,1
2004,2004,CA,77,area_code_510,no,no,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,no,63.11,0.17002849002849002,0.08498293515358361,0.0449836867862969,0.27022471910112356,4
2005,2005,NY,119,area_code_415,no,no,0,133.4,102,22.68,204.6,71,17.39,196.9,103,8.86,11.1,7,3.0,1,no,51.93,0.17001499250374813,0.08499511241446726,0.04499746063991874,0.2702702702702703,0
2006,2006,AR,91,area_code_510,no,yes,27,204.6,96,34.78,136.0,93,11.56,210.5,82,9.47,6.6,2,1.78,3,no,57.59,0.16999022482893453,0.085,0.04498812351543943,0.2696969696969697,4
2007,2007,MI,102,area_code_510,no,no,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,no,71.14,0.16998348472336913,0.08499142367066896,0.0449867374005305,0.2693548387096774,4
2008,2008,OK,86,area_code_415,no,yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,11.9,4,3.21,3,no,68.36999999999999,0.17001185302252075,0.08500713945740124,0.044947368421052625,0.26974789915966385,1
2009,2009,TX,82,area_code_415,no,no,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0,no,48.13,0.17,0.08499730167296275,0.044991606043648574,0.26987951807228916,0
2010,2010,NC,89,area_code_408,no,no,0,105.9,151,18.0,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,no,45.24,0.16997167138810199,0.08502109704641352,0.04499707431246343,0.27007874015748035,0
2011,2011,ID,86,area_code_415,no,no,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,9.3,7,2.51,3,no,60.629999999999995,0.1699794026776519,0.084984520123839,0.045000000000000005,0.2698924731182795,4
2012,2012,IL,134,area_code_408,no,no,0,183.8,111,31.25,123.5,92,10.5,160.7,105,7.23,6.1,2,1.65,1,no,50.63,0.17002176278563655,0.08502024291497975,0.04499066583696329,0.27049180327868855,3
2013,2013,OR,92,area_code_415,no,no,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2,no,59.81999999999999,0.17002544529262084,0.08499999999999999,0.04497549019607843,0.27037037037037037,1
2014,2014,SD,87,area_code_510,no,no,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,no,57.940000000000005,0.1700271002710027,0.08499999999999999,0.04498364231188658,0.27007299270072993,4
2015,2015,NE,64,area_code_408,no,no,0,261.9,113,44.52,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0,no,67.37,0.16998854524627724,0.0850101282916948,0.04497245179063361,0.2702898550724638,1
2016,2016,RI,80,area_code_510,no,no,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,no,66.99000000000001,0.1700098814229249,0.08501152959262107,0.04498308906426156,0.26956521739130435,4
2017,2017,MD,165,area_code_415,no,yes,39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3,no,54.38,0.17001194743130227,0.085002895193978,0.04501557632398754,0.27052631578947367,4
2018,2018,ID,153,area_code_415,no,yes,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1,no,60.7,0.17000596302921886,0.08500810372771475,0.04502206964198136,0.27066666666666667,3
2019,2019,ME,41,area_code_415,no,yes,30,191.7,109,32.59,193.0,86,16.41,149.4,93,6.72,11.1,4,3.0,1,no,58.72,0.17000521648408976,0.08502590673575129,0.044979919678714855,0.2702702702702703,1
2020,2020,SD,108,area_code_415,no,no,0,240.2,78,40.83,230.3,109,19.58,217.0,83,9.76,5.2,1,1.4,2,no,71.57000000000001,0.16998334721065778,0.08501953973078592,0.04497695852534562,0.2692307692307692,3
2021,2021,NY,104,area_code_415,no,yes,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,no,59.269999999999996,0.17001586462189316,0.08501683501683502,0.04500752634219769,0.2702702702702703,1
2022,2022,DE,115,area_code_408,no,no,0,127.7,67,21.71,182.9,90,15.55,172.9,92,7.78,10.6,7,2.86,1,no,47.900000000000006,0.17000783085356305,0.0850191361399672,0.04499710815500289,0.269811320754717,0
2023,2023,OK,87,area_code_415,no,no,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,no,55.49,0.16998050682261212,0.08502512562814071,0.0450131926121372,0.2701492537313433,1
2024,2024,SC,159,area_code_415,no,yes,23,153.6,93,26.11,216.9,88,18.44,161.3,91,7.26,12.6,3,3.4,2,no,55.209999999999994,0.16998697916666666,0.08501613646841863,0.045009299442033475,0.2698412698412698,0
2025,2025,IN,119,area_code_510,no,no,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,no,54.49,0.17003236245954692,0.08502066115702481,0.04499723604201216,0.2701492537313433,0
2026,2026,NV,69,area_code_415,no,no,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,no,57.95,0.17000650618087185,0.08499999999999999,0.04498242873877391,0.2702127659574468,0
2027,2027,IL,87,area_code_408,yes,yes,36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,no,58.050000000000004,0.1699766355140187,0.08498385360602798,0.04499121265377856,0.27037037037037037,2
2028,2028,SD,93,area_code_510,no,no,0,328.1,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1,yes,84.67999999999999,0.17000914355379457,0.0849703361898484,0.04500823723228995,0.2701149425287357,2
2029,2029,OK,154,area_code_415,yes,no,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,yes,54.53,0.16997943797121315,0.08501440922190202,0.04499723604201216,0.2701388888888889,0
2030,2030,KS,57,area_code_415,no,yes,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,no,68.14,0.16998011928429427,0.08500535523027489,0.0450064850843061,0.2703389830508474,2
2031,2031,IA,130,area_code_510,no,no,0,139.1,72,23.65,246.0,112,20.91,207.2,121,9.32,11.4,9,3.08,5,no,56.96,0.1700215672178289,0.085,0.044980694980694985,0.27017543859649124,4
2032,2032,NJ,151,area_code_415,no,no,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2,no,56.2,0.16997476871320438,0.08501616960114984,0.045020533880903484,0.2696969696969697,0
2033,2033,NJ,162,area_code_408,no,no,0,217.6,87,36.99,279.0,71,23.72,250.7,65,11.28,10.4,4,2.81,2,yes,74.8,0.16999080882352943,0.0850179211469534,0.044994016753091344,0.2701923076923077,2
2034,2034,MT,60,area_code_415,no,no,0,145.0,133,24.65,209.1,92,17.77,328.5,112,14.78,14.6,2,3.94,1,no,61.14,0.16999999999999998,0.08498326159732185,0.04499238964992389,0.26986301369863014,2
2035,2035,IA,81,area_code_510,no,no,0,203.5,89,34.6,289.6,69,24.62,212.9,71,9.58,8.7,3,2.35,3,no,71.14999999999999,0.17002457002457003,0.08501381215469613,0.04499765147956787,0.2701149425287357,4
2036,2036,WA,132,area_code_415,no,no,0,240.1,115,40.82,180.4,91,15.33,133.4,122,6.0,8.0,6,2.16,3,no,64.31,0.1700124947938359,0.08497782705099778,0.04497751124437781,0.27,4
2037,2037,NE,86,area_code_408,no,no,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,no,43.620000000000005,0.17004773269689738,0.08501248959200668,0.045018915510718786,0.2701492537313433,0
2038,2038,TX,136,area_code_408,no,no,0,269.8,106,45.87,228.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,yes,79.64,0.17001482579688657,0.08500874125874125,0.04500970873786408,0.2702970297029703,2
2039,2039,MS,121,area_code_415,no,yes,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1,no,50.81,0.16999208234362628,0.08501908396946566,0.044987012987012985,0.269811320754717,0
2040,2040,IA,105,area_code_510,no,yes,15,88.1,125,14.98,175.9,142,14.95,269.9,85,12.15,9.7,1,2.62,2,no,44.699999999999996,0.17003405221339388,0.08499147242751563,0.04501667284179326,0.2701030927835052,0
2041,2041,WI,105,area_code_415,no,yes,34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2,no,63.339999999999996,0.1700228832951945,0.08500254194204372,0.04500330906684315,0.26969696969696966,1
2042,2042,MT,51,area_code_415,no,yes,26,236.8,61,40.26,263.4,97,22.39,181.1,91,8.15,11.2,8,3.02,1,no,73.82,0.17001689189189187,0.08500379650721337,0.04500276090557703,0.2696428571428572,2
2043,2043,GA,64,area_code_408,no,no,0,124.1,117,21.1,192.8,108,16.39,162.9,84,7.33,6.4,5,1.73,3,no,46.55,0.17002417405318293,0.0850103734439834,0.044996930632289746,0.27031249999999996,3
2044,2044,MT,80,area_code_510,yes,yes,30,184.2,132,31.31,167.5,109,14.24,212.8,114,9.58,10.0,10,2.7,0,no,57.83,0.1699782844733985,0.08501492537313433,0.0450187969924812,0.27,1
2045,2045,ND,56,area_code_415,no,no,0,222.7,133,37.86,277.0,89,23.55,101.8,94,4.58,13.6,4,3.67,4,no,69.66,0.17000449034575663,0.08501805054151625,0.044990176817288806,0.2698529411764706,4
2046,2046,VT,120,area_code_415,no,no,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3.0,1,no,56.019999999999996,0.16997319034852548,0.08502066115702481,0.04499799116110888,0.2702702702702703,0
2047,2047,SD,103,area_code_510,no,no,0,206.5,125,35.11,180.2,113,15.32,220.6,95,9.93,12.2,4,3.29,3,no,63.65,0.17002421307506052,0.08501664816870146,0.04501359927470535,0.269672131147541,4
2048,2048,OH,164,area_code_510,no,yes,27,159.7,102,27.15,168.8,113,14.35,244.1,127,10.98,9.6,9,2.59,3,no,55.07000000000001,0.17000626174076394,0.08501184834123222,0.04498156493240475,0.26979166666666665,4
2049,2049,OH,116,area_code_415,no,yes,27,204.7,118,34.8,209.4,91,17.8,212.9,67,9.58,7.0,2,1.89,2,no,64.07,0.1700048851978505,0.08500477554918816,0.04499765147956787,0.26999999999999996,3
2050,2050,MT,121,area_code_408,no,no,0,213.2,79,36.24,120.7,116,10.26,244.4,102,11.0,7.5,4,2.03,1,no,59.53,0.16998123827392123,0.08500414250207125,0.045008183306055646,0.27066666666666667,3
2051,2051,IL,55,area_code_415,yes,no,0,269.6,121,45.83,171.7,91,14.59,219.0,98,9.86,8.2,6,2.21,1,no,72.49,0.16999258160237388,0.08497379149679675,0.04502283105022831,0.26951219512195124,2
2052,2052,NV,183,area_code_415,no,no,0,116.7,92,19.84,213.8,112,18.17,214.3,112,9.64,9.7,6,2.62,2,no,50.27,0.17000856898029135,0.08498596819457437,0.044983667755482966,0.2701030927835052,0
2053,2053,UT,104,area_code_408,no,no,0,263.4,101,44.78,235.5,117,20.02,102.0,146,4.59,13.0,4,3.51,0,no,72.9,0.17000759301442675,0.08501061571125265,0.045,0.26999999999999996,1
2054,2054,NH,90,area_code_408,no,no,0,140.2,97,23.83,213.9,102,18.18,120.0,126,5.4,7.1,2,1.92,1,no,49.33,0.16997146932952925,0.0849929873772791,0.045000000000000005,0.27042253521126763,3
2055,2055,LA,82,area_code_415,no,no,0,197.7,101,33.61,127.6,83,10.85,142.1,103,6.39,13.5,3,3.65,1,no,54.5,0.17000505816894285,0.08503134796238244,0.04496833216045039,0.27037037037037037,1
2056,2056,VT,101,area_code_415,no,no,0,136.2,92,23.15,220.9,110,18.78,196.9,116,8.86,13.3,7,3.59,3,no,54.379999999999995,0.16997063142437593,0.0850158442734269,0.04499746063991874,0.2699248120300752,4
2057,2057,NY,9,area_code_415,no,yes,16,88.5,87,15.05,178.8,108,15.2,228.7,96,10.29,11.5,3,3.11,2,no,43.65,0.17005649717514126,0.08501118568232661,0.044993441189331,0.27043478260869563,0
2058,2058,CT,97,area_code_415,no,no,0,215.3,58,36.6,242.4,91,20.6,279.8,105,12.59,12.1,9,3.27,0,no,73.06,0.1699953553181607,0.08498349834983498,0.0449964260185847,0.2702479338842975,2
2059,2059,KS,94,area_code_408,no,no,0,269.2,104,45.76,193.8,144,16.47,257.6,61,11.59,8.9,2,2.4,3,yes,76.22,0.1699851411589896,0.084984520123839,0.044992236024844715,0.2696629213483146,4
2060,2060,MI,127,area_code_510,no,yes,25,203.8,118,34.65,267.1,48,22.7,225.1,105,10.13,7.3,5,1.97,0,no,69.44999999999999,0.1700196270853778,0.08498689629352302,0.04500222123500667,0.26986301369863014,2
2061,2061,SD,125,area_code_510,no,yes,34,268.4,112,45.63,222.2,108,18.89,117.6,102,5.29,10.3,3,2.78,0,no,72.59000000000002,0.17000745156482863,0.08501350135013502,0.044982993197278914,0.2699029126213592,1
2062,2062,ME,140,area_code_415,no,no,0,159.1,104,27.05,269.8,106,22.93,220.4,116,9.92,10.3,4,2.78,1,no,62.68000000000001,0.1700188560653677,0.08498888065233506,0.04500907441016334,0.2699029126213592,2
